arrival_date_year,arrival_date_month,num_bookings,time
2015,August,3889,August 2015
2015,December,2920,December 2015
2015,July,2776,July 2015
2015,November,2340,November 2015
2015,October,4957,October 2015
2015,September,5114,September 2015
2016,April,5428,April 2016
2016,August,5063,August 2016
2016,December,3860,December 2016
2016,February,3891,February 2016
2016,January,2248,January 2016
2016,July,4572,July 2016
2016,June,5292,June 2016
2016,March,4824,March 2016
2016,May,5478,May 2016
2016,November,4454,November 2016
2016,October,6203,October 2016
2016,September,5394,September 2016
2017,April,5661,April 2017
2017,August,4925,August 2017
2017,February,4177,February 2017
2017,January,3681,January 2017
2017,July,5313,July 2017
2017,June,5647,June 2017
2017,March,4970,March 2017
2017,May,6313,May 2017
