arrival_date_year,arrival_date_month,num_cancellations,time
2015,August,1598,August 2015
2015,December,973,December 2015
2015,July,1259,July 2015
2015,November,486,November 2015
2015,October,1732,October 2015
2015,September,2094,September 2015
2016,April,2061,April 2016
2016,August,1825,August 2016
2016,December,1398,December 2016
2016,February,1337,February 2016
2016,January,557,January 2016
2016,July,1499,July 2016
2016,June,2096,June 2016
2016,March,1477,March 2016
2016,May,1915,May 2016
2016,November,1636,November 2016
2016,October,2514,October 2016
2016,September,2022,September 2016
2017,April,2463,April 2017
2017,August,1816,August 2017
2017,February,1359,February 2017
2017,January,1250,January 2017
2017,July,1984,July 2017
2017,June,2439,June 2017
2017,March,1672,March 2017
2017,May,2762,May 2017
